"edad" "sexo" "mes" "periodo" "casos" "poblacion" "estacion"
"229" 3 "1" "12" "2000" 1 136242 "1"
"230" 2 "1" "12" "2000" 0 123341 "1"
"231" 3 "2" "4" "2000" 1 128266 "2"
"232" 3 "2" "8" "2000" 0 128266 "2"
"233" 2 "2" "6" "2000" 3 117229 "2"
"234" 2 "2" "9" "2000" 1 117229 "2"
"235" 2 "1" "2" "2000" 2 123341 "1"
"236" 1 "2" "11" "2000" 1 114193 "1"
"237" 1 "2" "6" "2000" 1 114193 "2"
"238" 1 "1" "10" "2000" 1 119978 "2"
"239" 1 "1" "7" "2000" 2 119978 "2"
"240" 1 "1" "12" "2000" 3 119978 "1"
"241" 1 "1" "9" "2000" 1 119978 "2"
"242" 3 "2" "6" "2000" 1 128266 "2"
"243" 3 "2" "11" "2000" 2 128266 "1"
"244" 2 "2" "7" "2000" 1 117229 "2"
"245" 2 "2" "12" "2000" 2 117229 "1"
"246" 3 "1" "10" "2000" 2 136242 "2"
"247" 3 "2" "9" "2000" 2 128266 "2"
"248" 2 "1" "9" "2000" 2 123341 "2"
"249" 1 "1" "3" "2000" 2 119978 "1"
"250" 3 "1" "6" "2000" 4 136242 "2"
"251" 2 "1" "5" "2000" 3 123341 "2"
"252" 3 "2" "10" "2000" 3 128266 "2"
"253" 2 "1" "8" "2000" 1 123341 "2"
"254" 2 "1" "10" "2000" 3 123341 "2"
"255" 3 "2" "3" "2000" 1 128266 "1"
"256" 1 "2" "5" "2000" 0 114193 "2"
"257" 2 "2" "5" "2000" 0 117229 "2"
"258" 2 "1" "11" "2000" 4 123341 "1"
"259" 1 "2" "7" "2000" 1 114193 "2"
"260" 3 "2" "7" "2000" 2 128266 "2"
"261" 2 "1" "1" "2000" 3 123341 "1"
"262" 1 "1" "5" "2000" 0 119978 "2"
"263" 3 "1" "5" "2000" 4 136242 "2"
"264" 1 "2" "1" "2000" 3 114193 "1"
"265" 3 "2" "12" "2000" 2 128266 "1"
"266" 3 "2" "2" "2000" 4 128266 "1"
"267" 2 "1" "4" "2000" 1 123341 "2"
"268" 3 "1" "2" "2000" 1 136242 "1"
"269" 3 "1" "3" "2000" 1 136242 "1"
"270" 3 "2" "5" "2000" 1 128266 "2"
"271" 1 "2" "10" "2000" 2 114193 "2"
"272" 1 "2" "3" "2000" 3 114193 "1"
"273" 3 "1" "4" "2000" 3 136242 "2"
"274" 2 "1" "7" "2000" 0 123341 "2"
"275" 1 "1" "6" "2000" 1 119978 "2"
"276" 1 "2" "2" "2000" 2 114193 "1"
"277" 2 "2" "11" "2000" 0 117229 "1"
"278" 3 "1" "8" "2000" 5 136242 "2"
"279" 2 "1" "3" "2000" 3 123341 "1"
"280" 2 "2" "2" "2000" 4 117229 "1"
"281" 1 "2" "8" "2000" 0 114193 "2"
"282" 1 "2" "12" "2000" 0 114193 "1"
"283" 3 "1" "7" "2000" 2 136242 "2"
"284" 3 "1" "9" "2000" 0 136242 "2"
"285" 2 "1" "6" "2000" 0 123341 "2"
"286" 2 "2" "4" "2000" 4 117229 "2"
"287" 1 "1" "11" "2000" 4 119978 "1"
"288" 3 "1" "1" "2000" 1 136242 "1"
"289" 3 "2" "4" "2001" 1 128128 "2"
"290" 1 "2" "1" "2001" 2 124202 "1"
"291" 3 "2" "7" "2001" 0 128128 "2"
"292" 2 "1" "9" "2001" 1 126111 "2"
"293" 2 "1" "12" "2001" 1 126111 "1"
"294" 3 "1" "12" "2001" 0 135242 "1"
"295" 3 "1" "3" "2001" 2 135242 "1"
"296" 1 "1" "11" "2001" 2 130004 "1"
"297" 2 "1" "3" "2001" 4 126111 "1"
"298" 2 "1" "1" "2001" 4 126111 "1"
"299" 2 "2" "6" "2001" 4 119809 "2"
"300" 1 "1" "8" "2001" 0 130004 "2"
"301" 1 "1" "12" "2001" 1 130004 "1"
"302" 1 "2" "9" "2001" 0 124202 "2"
"303" 1 "2" "5" "2001" 1 124202 "2"
"304" 1 "1" "9" "2001" 0 130004 "2"
"305" 3 "2" "2" "2001" 1 128128 "1"
"306" 2 "1" "5" "2001" 2 126111 "2"
"307" 1 "2" "3" "2001" 2 124202 "1"
"308" 3 "2" "12" "2001" 1 128128 "1"
"309" 1 "1" "5" "2001" 1 130004 "2"
"310" 2 "1" "11" "2001" 1 126111 "1"
"311" 2 "2" "9" "2001" 3 119809 "2"
"312" 1 "2" "10" "2001" 1 124202 "2"
"313" 3 "1" "4" "2001" 1 135242 "2"
"314" 3 "2" "10" "2001" 2 128128 "2"
"315" 3 "2" "9" "2001" 1 128128 "2"
"316" 1 "2" "2" "2001" 3 124202 "1"
"317" 2 "1" "7" "2001" 2 126111 "2"
"318" 1 "2" "7" "2001" 0 124202 "2"
"319" 1 "1" "4" "2001" 0 130004 "2"
"320" 3 "1" "2" "2001" 6 135242 "1"
"321" 1 "1" "7" "2001" 0 130004 "2"
"322" 3 "1" "6" "2001" 1 135242 "2"
"323" 2 "2" "1" "2001" 1 119809 "1"
"324" 1 "2" "6" "2001" 0 124202 "2"
"325" 2 "2" "11" "2001" 1 119809 "1"
"326" 2 "2" "5" "2001" 0 119809 "2"
"327" 3 "1" "9" "2001" 4 135242 "2"
"328" 1 "1" "2" "2001" 1 130004 "1"
"329" 1 "2" "8" "2001" 1 124202 "2"
"330" 1 "1" "10" "2001" 1 130004 "2"
