encuest	th	sexo	edad	carnet	carnetanyos	conducebicicleta	conducemoto	conducevehiculoligero	conducecamion	kmturismo	acturismonum	opinionlimites	conductavelocidad	conductaalcohol	conductamovil	conductacinturon	opinionradares	acturismo	sancion	carnetpuntosperdidos	sancion_velocidad
84	Araba	Mujer	45	1	28	0	0	1	0	40	0	Muy bajos	Alguna vez	A veces	A veces	Siempre	No debe haber ninguno	0	1	0	1
85	Bizkaia	Hombre	73	1	50	0	0	0	0	100	6	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	0	1
86	Bizkaia	Hombre	54	1	30	0	0	0	0	200	2	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	0	1
87	Araba	Hombre	35	1	12	1	0	0	0	20	2	Estan ok	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	1	1
88	Bizkaia	Mujer	25	1	4	0	0	0	0	25	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
89	Bizkaia	Mujer	37	1	7	1	0	0	0	100	1	Muy altos	Nunca	Nunca	Nunca	Siempre	Estan ok	1	0	1	0
90	Bizkaia	Hombre	29	1	8	1	0	0	0	1000	0	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	0	0	0
91	Araba	Hombre	35	1	17	1	0	0	0	300	2	Estan ok	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	0	1
92	Bizkaia	Hombre	41	1	23	0	0	0	0	100	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	1	1	1	1
93	Gipuzkoa	Hombre	58	1	40	0	0	0	1	20	0	Muy altos	Alguna vez	A veces	Nunca	Siempre	No debe haber ninguno	0	1	1	1
94	Gipuzkoa	Mujer	55	1	35	1	0	0	0	20	2	Estan ok	Alguna vez	A veces	Nunca	Siempre	Estan ok	1	0	0	0
95	Gipuzkoa	Mujer	56	1	38	0	0	0	0	40	0	Muy bajos	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
96	Bizkaia	Mujer	35	1	16	0	0	0	0	50	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que colocar mas	0	0	0	0
97	Araba	Hombre	45	1	27	0	0	0	0	150	4	Muy bajos	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	1	0	0	0
98	Araba	Hombre	72	1	49	0	0	0	0	200	1	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Estan ok	1	1	0	1
99	Bizkaia	Mujer	39	1	22	0	0	0	0	5	1	Estan ok	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	1	0	0	0
100	Araba	Mujer	44	1	20	1	0	0	0	100	1	Estan ok	Alguna vez	Nunca	A veces	Siempre	Estan ok	1	1	1	0
101	Bizkaia	Hombre	43	1	24	0	0	0	0	100	3	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	0	1
102	Bizkaia	Mujer	29	1	5	0	0	0	0	210	1	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	1	0	0	0
103	Bizkaia	Mujer	42	1	22	0	0	0	0	50	1	Muy bajos	Nunca	Nunca	Nunca	Siempre	Hay demasiados	1	0	0	0
104	Bizkaia	Mujer	38	1	16	0	0	0	0	250	1	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	1	0	0	0
105	Bizkaia	Hombre	57	1	30	0	0	0	0	7	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	0	0	0
106	Bizkaia	Mujer	42	1	22	0	0	0	0	50	4	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que colocar mas	1	1	0	1
107	Araba	Mujer	30	1	9	0	0	0	0	80	0	Estan ok	Bastante/Mucho	Nunca	A veces	Siempre	Hay demasiados	0	1	1	1
108	Araba	Hombre	32	1	14	1	1	0	0	20	2	Muy bajos	Alguna vez	Nunca	A veces	No siempre	Hay que cambiarlos de sitio	1	1	1	0
109	Bizkaia	Hombre	23	1	5	0	0	0	0	60	1	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	1	0	0	0
110	Gipuzkoa	Mujer	66	1	48	0	0	0	0	30	1	Estan ok	Nunca	Nunca	A veces	Siempre	Estan ok	1	0	0	0
111	Bizkaia	Hombre	68	1	41	0	0	0	0	10	2	Estan ok	Alguna vez	A veces	Nunca	Siempre	Estan ok	1	1	0	0
112	Bizkaia	Hombre	62	1	44	0	0	0	0	40	3	Muy bajos	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	0	1
113	Gipuzkoa	Mujer	59	1	41	0	0	0	0	50	1	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	1	0	0	0
114	Bizkaia	Hombre	38	1	15	0	1	0	0	200	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	0	0	0
115	Araba	Mujer	42	1	17	0	0	0	0	30	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	0	0	0	0
116	Araba	Mujer	57	1	39	1	0	0	0	100	2	Muy bajos	Nunca	A veces	Nunca	Siempre	Estan ok	1	0	0	0
117	Bizkaia	Hombre	42	1	22	0	0	1	0	400	2	Estan ok	Nunca	A veces	Nunca	Siempre	Hay demasiados	1	0	0	0
118	Araba	Mujer	38	1	20	1	0	0	0	10	0	Estan ok	Alguna vez	Nunca	A veces	Siempre	Hay que cambiarlos de sitio	0	1	0	1
119	Araba	Mujer	33	1	13	0	0	0	0	5	1	Muy bajos	Alguna vez	A veces	Nunca	Siempre	Hay demasiados	1	0	0	0
120	Bizkaia	Mujer	61	1	33	0	0	0	0	30	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que colocar mas	0	0	0	0
121	Gipuzkoa	Mujer	75	1	51	0	0	0	0	1	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay demasiados	0	1	0	1
122	Araba	Hombre	58	1	40	0	0	0	0	200	2	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	1	1	1	1
123	Bizkaia	Mujer	46	1	29	1	0	0	0	10	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
124	Araba	Hombre	57	1	39	1	0	0	0	100	5	Muy bajos	Alguna vez	A veces	Nunca	Siempre	No debe haber ninguno	1	0	0	0
125	Gipuzkoa	Mujer	59	1	25	0	0	0	0	20	0	Estan ok	Nunca	Nunca	Nunca	Siempre	No debe haber ninguno	0	0	0	0
126	Gipuzkoa	Mujer	31	1	13	0	0	0	0	20	0	Estan ok	Nunca	A veces	A veces	Siempre	Hay que colocar mas	0	0	0	0
127	Gipuzkoa	Mujer	33	1	15	0	0	0	0	20	2	Estan ok	Alguna vez	Nunca	A veces	Siempre	Estan ok	1	1	0	1
128	Bizkaia	Mujer	22	1	3	0	0	0	0	10	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay demasiados	0	0	0	0
129	Bizkaia	Hombre	54	1	35	0	0	0	0	100	2	Muy bajos	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	0	1
130	Bizkaia	Hombre	45	1	26	0	0	0	0	100	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	0	1
131	Bizkaia	Mujer	52	1	20	0	0	0	0	90	0	Estan ok	Nunca	Nunca	Nunca	Siempre	No debe haber ninguno	0	0	0	0
132	Bizkaia	Mujer	40	1	22	1	0	0	0	100	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	0	1
133	Gipuzkoa	Hombre	46	1	19	0	0	0	0	100	2	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	1	1	1	1
134	Araba	Mujer	32	1	14	0	0	0	0	200	1	Muy altos	Alguna vez	Nunca	A veces	Siempre	Hay que cambiarlos de sitio	1	1	0	1
135	Araba	Mujer	44	1	18	0	0	0	0	10	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
