encuest	th	sexo	edad	carnet	carnetanyos	conducebicicleta	conducemoto	conducevehiculoligero	conducecamion	kmturismo	acturismonum	opinionlimites	conductavelocidad	conductaalcohol	conductamovil	conductacinturon	opinionradares	acturismo	sancion	carnetpuntosperdidos	sancion_velocidad
69	Araba	Hombre	60	1	40	1	1	0	0	60	0	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	1	0	0
70	Gipuzkoa	Mujer	85	1	31	0	0	0	0	30	0	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
71	Bizkaia	Mujer	41	1	15	1	0	0	0	50	1	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay que colocar mas	1	0	0	0
72	Bizkaia	Hombre	75	1	39	0	0	0	0	50	2	Estan ok	Alguna vez	A veces	Nunca	Siempre	Hay demasiados	1	1	1	1
73	Bizkaia	Mujer	40	1	22	1	0	0	0	100	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	0	1
74	Bizkaia	Mujer	65	1	37	0	0	0	0	20	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
75	Bizkaia	Hombre	45	1	27	1	1	0	0	200	1	Muy bajos	Bastante/Mucho	A veces	Nunca	Siempre	Hay demasiados	1	1	0	1
76	Araba	Hombre	60	1	42	1	0	0	0	10	3	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Estan ok	1	1	0	1
77	Bizkaia	Hombre	74	1	50	0	0	0	0	30	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
78	Bizkaia	Hombre	39	1	18	0	0	0	0	300	2	Estan ok	Alguna vez	A veces	Nunca	Siempre	Estan ok	1	1	0	1
79	Gipuzkoa	Mujer	39	1	19	0	0	0	0	1	0	Muy bajos	Nunca	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	0	0	0
80	Bizkaia	Mujer	54	1	36	0	0	0	0	100	1	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	0	1
81	Gipuzkoa	Hombre	30	1	10	1	0	1	0	20	0	Estan ok	Alguna vez	A veces	A veces	Siempre	Estan ok	0	0	0	0
82	Bizkaia	Mujer	39	1	22	0	0	0	0	5	1	Estan ok	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	1	0	0	0
83	Gipuzkoa	Mujer	45	1	11	0	0	0	0	30	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay demasiados	0	0	0	0
84	Araba	Mujer	36	1	18	1	0	0	0	250	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	0	0	0
85	Bizkaia	Mujer	25	1	4	0	0	0	0	25	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	0	0	0	0
86	Gipuzkoa	Hombre	33	1	8	0	0	0	0	15	1	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	1	1	1
87	Araba	Hombre	24	1	4	0	0	0	0	300	2	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Estan ok	1	0	0	0
88	Araba	Hombre	54	1	36	0	0	0	0	400	1	Muy bajos	Alguna vez	A veces	A veces	Siempre	Hay que cambiarlos de sitio	1	1	1	1
89	Araba	Hombre	21	1	1	1	0	0	0	2	0	Estan ok	Nunca	Nunca	A veces	Siempre	Estan ok	0	0	0	0
90	Bizkaia	Mujer	50	1	25	0	0	0	0	60	2	Estan ok	Nunca	Nunca	Nunca	Siempre	Estan ok	1	0	0	0
